symbol,stockPrices
XNSE/SAMBHAAV,Sambhaav Media Ltd. (SAMBHAAV) Adjusted Stock Prices
XNSE/IZMO,izmo Ltd. (IZMO) Adjusted Stock Prices
XNSE/GODREJPROP,Godrej Properties Limited (GODREJPROP) Adjusted Stock Prices
XNSE/AXISBANK,Axis Bank Ltd (AXISBANK) Adjusted Stock Prices
XNSE/ANSALAPI,Ansal Properties & Infrastructure Ltd. (ANSALAPI) Adjusted Stock Prices
XNSE/MCDOWELL_N,United Spirits Ltd. (MCDOWELL_N) Adjusted Stock Prices
XNSE/ZENITHEXPO,Zenith Exports Ltd. (ZENITHEXPO) Adjusted Stock Prices
XNSE/N6IDFC,IDFC Ltd (N6IDFC) Adjusted Stock Prices
XNSE/N3TCFSL,Tata Capital Financial Services Limited (N3TCFSL) Adjusted Stock Prices
XNSE/DRSTAN,Standard Chartered plc
XNSE/SURYAJYOTI,Suryajyoti Spinning Mills Ltd. (SURYAJYOTI) Adjusted Stock Prices
XNSE/FELDVR,Future Enterprises Ltd. (FELDVR) Adjusted Stock Prices
XNSE/JSWSTEEL,JSW Steel Ltd. (JSWSTEEL) Adjusted Stock Prices
XNSE/ICICIBANK,ICICI Bank Ltd. (ICICIBANK) Adjusted Stock Prices
XNSE/MRPL,Mangalore Refinery & Petrochemicals Ltd. (MRPL) Adjusted Stock Prices
XNSE/GUJAPOLLO,Gujarat Apollo Industries Ltd. (GUJAPOLLO) Adjusted Stock Prices
XNSE/RAMKY,Ramky Infrastructure Ltd (RAMKY) Adjusted Stock Prices
XNSE/E1IBN18,TV18 Broadcast Ltd (E1IBN18) Adjusted Stock Prices
XNSE/ASIANHOTNR,Asian Hotels (North) Ltd. (ASIANHOTNR) Adjusted Stock Prices
XNSE/JIKIND,JIK Industries Ltd. (JIKIND) Adjusted Stock Prices
XNSE/BALMLAWRIE,Balmer Lawrie & Co. Ltd. (BALMLAWRIE) Adjusted Stock Prices
XNSE/HESTERBIO,Hester Biosciences Ltd (HESTERBIO) Adjusted Stock Prices
XNSE/SUMMITSEC,Summit Securities Ltd (SUMMITSEC) Adjusted Stock Prices
XNSE/SAYAJIHOTL,Sayaji Hotels Ltd. (SAYAJIHOTL) Adjusted Stock Prices
XNSE/KGL,Karuturi Global Ltd (KGL) Adjusted Stock Prices
XNSE/EXIDEIND,Exide Industries Ltd. (EXIDEIND) Adjusted Stock Prices
XNSE/WSTCSTPAPR,West Coast Paper Mills Ltd. (WSTCSTPAPR) Adjusted Stock Prices
XNSE/PFOCUS,Prime Focus Ltd. (PFOCUS) Adjusted Stock Prices
XNSE/P1MUKANDLTD,Mukand Ltd. (P1MUKANDLTD) Adjusted Stock Prices
XNSE/SELAN,Selan Exploration Technology Ltd. (SELAN) Adjusted Stock Prices
XNSE/ASHCONIUL,Ashco Niulab Industries Ltd
XNSE/THANGAMAYL,Thangamayil Jewellery Limited (THANGAMAYL) Adjusted Stock Prices
XNSE/POCHIRAJU,Pochiraju Industries Ltd. (POCHIRAJU) Adjusted Stock Prices
XNSE/MFRFHFXX33GP,Reliance Capital Asset Management Ltd (MFRFHFXX33GP) Adjusted Stock Prices
XNSE/AARVEEDEN,Aarvee Denims & Exports Ltd (AARVEEDEN) Adjusted Stock Prices
XNSE/JKPAPER,JK Paper Ltd (JKPAPER) Adjusted Stock Prices
XNSE/RELGRNIFTY,Invesco Asset Management (India) Pvt. Ltd. (RELGRNIFTY) Adjusted Stock Prices
XNSE/MANPASAND,Manpasand Beverages Ltd (MANPASAND) Adjusted Stock Prices
XNSE/INDIANHUME,Indian Hume Pipe Co. Ltd. (INDIANHUME) Adjusted Stock Prices
XNSE/M_M,Mahindra & Mahindra Ltd. (M_M) Adjusted Stock Prices
XNSE/LITL,Lanco Infratech Ltd. (LITL) Adjusted Stock Prices
XNSE/VISUALSOFT,Visualsoft Technologies Ltd. (VISUALSOFT) Adjusted Stock Prices
XNSE/N7MUTHOOTFIN,Muthoot Finance Ltd. (N7MUTHOOTFIN) Adjusted Stock Prices
XNSE/ASHIANA,Ashiana Housing Ltd. (ASHIANA) Adjusted Stock Prices
XNSE/BEML,BEML Ltd. (BEML) Adjusted Stock Prices
XNSE/GPPL,Gujarat Pipavav Port Ltd (GPPL) Adjusted Stock Prices
XNSE/SKIL,SKIL Infrastructure Ltd. (SKIL) Adjusted Stock Prices
XNSE/ZODIACLOTH,Zodiac Clothing Co. Ltd. (ZODIACLOTH) Adjusted Stock Prices
XNSE/N1DRREDDY,Dr. Reddy`s Laboratories Ltd. (N1DRREDDY) Adjusted Stock Prices
XNSE/CREATIVEYE,Creative Eye Ltd. (CREATIVEYE) Adjusted Stock Prices
XNSE/DLF,DLF Ltd. (DLF) Adjusted Stock Prices
XNSE/CYIENT,Cyient Ltd. (CYIENT) Adjusted Stock Prices
XNSE/CEREBRAINT,Cerebra Integrated Technologies Ltd. (CEREBRAINT) Adjusted Stock Prices
XNSE/JAIHINDPRO,Jaihind Projects Ltd. (JAIHINDPRO) Adjusted Stock Prices
XNSE/NTPC,NTPC Ltd. (NTPC) Adjusted Stock Prices
XNSE/N1SBIN,State Bank of India (N1SBIN) Adjusted Stock Prices
XNSE/N2NHAI,National Highways Authority of India (N2NHAI) Adjusted Stock Prices
XNSE/TATASTEEL,Tata Steel Ltd. (TATASTEEL) Adjusted Stock Prices
XNSE/KANANIIND,Kanani Industries Ltd. (KANANIIND) Adjusted Stock Prices
XNSE/BROADCAST,Broadcast Initiatives Ltd. (BROADCAST) Adjusted Stock Prices
XNSE/KITEX,Kitex Garments Ltd. (KITEX) Adjusted Stock Prices
XNSE/WEBELSOLAR,Websol Energy System Ltd (WEBELSOLAR) Adjusted Stock Prices
XNSE/KEYCORPSER,Keynote Corporate Services Ltd. (KEYCORPSER) Adjusted Stock Prices
XNSE/SALSTEEL,SAL Steel Ltd (SALSTEEL) Adjusted Stock Prices
XNSE/JMTAUTOLTD,JMT Auto Ltd. (JMTAUTOLTD) Adjusted Stock Prices
XNSE/VIMALOIL,Vimal Oil & Foods Ltd. (VIMALOIL) Adjusted Stock Prices
XNSE/RAMCOIND,Ramco Industries Ltd. (RAMCOIND) Adjusted Stock Prices
XNSE/MFRDAFTIIPAG,Reliance Capital Asset Management Ltd (MFRDAFTIIPAG) Adjusted Stock Prices
XNSE/KLGSYSTEL,KLG Systel Ltd.
XNSE/N1TATACOFFEE,Tata Coffee Ltd. (N1TATACOFFEE) Adjusted Stock Prices
XNSE/LFIC,Lakshmi Finance & Industrial Corporation Ltd (LFIC) Adjusted Stock Prices
XNSE/KSE,KSE Ltd.
XNSE/SOFTTECHGR,STG Lifecare Ltd (SOFTTECHGR) Adjusted Stock Prices
XNSE/KAMATHOTEL,Kamat Hotels (India) Ltd (KAMATHOTEL) Adjusted Stock Prices
XNSE/CAIRN,Cairn India Ltd. (CAIRN) Adjusted Stock Prices
XNSE/LAKSHMIEFL,Lakshmi Energy and Foods Ltd (LAKSHMIEFL) Adjusted Stock Prices
XNSE/8KMILES,8K Miles Software Services Ltd (8KMILES) Adjusted Stock Prices
XNSE/VINYLINDIA,Vinyl Chemicals (India) Ltd. (VINYLINDIA) Adjusted Stock Prices
XNSE/TAJGVK,Taj GVK Hotels & Resorts Ltd. (TAJGVK) Adjusted Stock Prices
XNSE/SIMPLEXINF,Simplex Infrastructure Ltd (SIMPLEXINF) Adjusted Stock Prices
XNSE/APOLLOHOSP,Apollo Hospitals Enterprises Ltd. (APOLLOHOSP) Adjusted Stock Prices
XNSE/MFFTFTF13AGR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF13AGR) Adjusted Stock Prices
XNSE/DICIND,DIC India Ltd. (DICIND) Adjusted Stock Prices
XNSE/APLLTD,Alembic Pharmaceuticals Ltd (APLLTD) Adjusted Stock Prices
XNSE/N3IDFC,IDFC Ltd (N3IDFC) Adjusted Stock Prices
XNSE/GEMINI,Gemini Communications Ltd. (GEMINI) Adjusted Stock Prices
XNSE/TIL,TIL Ltd. (TIL) Adjusted Stock Prices
XNSE/N5IDFC,IDFC Ltd (N5IDFC) Adjusted Stock Prices
XNSE/COX_KINGS,Cox and Kings Ltd. (COX_KINGS) Adjusted Stock Prices
XNSE/BAJAJHLDNG,Bajaj Holdings & Investment Ltd (BAJAJHLDNG) Adjusted Stock Prices
XNSE/KIRLOSIND,Kirloskar Industries Ltd. (KIRLOSIND) Adjusted Stock Prices
XNSE/PATINTLOG,Patel Integrated Logistics Ltd. (PATINTLOG) Adjusted Stock Prices
XNSE/TWILITAKA,Twilight Litaka Pharmaceuticals Ltd.
XNSE/JAYPEEHOT,Jaypee Hotels Ltd. (JAYPEEHOT) Adjusted Stock Prices
XNSE/NNSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NNSRTRANSFIN) Adjusted Stock Prices
XNSE/N8SREINFRA,SREI Infrastructure Finance Ltd. (N8SREINFRA) Adjusted Stock Prices
XNSE/ALMONDZ,Almondz Global Securities Ltd (ALMONDZ) Adjusted Stock Prices
XNSE/GUJFLUORO,Gujarat Fluorochemicals Ltd. (GUJFLUORO) Adjusted Stock Prices
XNSE/NESCO,NESCO Ltd. (NESCO) Adjusted Stock Prices
XNSE/AARTIIND,Aarti Industries Ltd. (AARTIIND) Adjusted Stock Prices
XNSE/NMDC,NMDC Ltd. (NMDC) Adjusted Stock Prices
XNSE/SGFL,Shree Ganesh Forgings Ltd. (SGFL) Adjusted Stock Prices
XNSE/HITACHIHOM,Hitachi Home & Life Solutions (India) Ltd. (HITACHIHOM) Adjusted Stock Prices
XNSE/CINEMAXIN,Cinemax India Ltd (CINEMAXIN) Adjusted Stock Prices
XNSE/OFSS,Oracle Financial Services Software Ltd (OFSS) Adjusted Stock Prices
XNSE/NHSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NHSRTRANSFIN) Adjusted Stock Prices
XNSE/FCEL,Future Consumer Enterprise Ltd. (FCEL) Adjusted Stock Prices
XNSE/ZYLOG,Zylog Systems Ltd. (ZYLOG) Adjusted Stock Prices
XNSE/WHIRLPOOL,Whirlpool of India Ltd. (WHIRLPOOL) Adjusted Stock Prices
XNSE/P1SAKUMA,Sakuma Exports Ltd.
XNSE/GITANJALI,Gitanjali Gems Ltd. (GITANJALI) Adjusted Stock Prices
XNSE/BHARATFORG,Bharat Forge Ltd. (BHARATFORG) Adjusted Stock Prices
XNSE/BEDMUTHA,Bedmutha Industries Ltd (BEDMUTHA) Adjusted Stock Prices
XNSE/DEEPAKNTR,Deepak Nitrite Ltd. (DEEPAKNTR) Adjusted Stock Prices
XNSE/PSUBNKBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (PSUBNKBEES) Adjusted Stock Prices
XNSE/STEELTUBES,Steel Tubes of India Ltd. (STEELTUBES) Adjusted Stock Prices
XNSE/APLAPOLLO,APL Apollo Tubes Ltd. (APLAPOLLO) Adjusted Stock Prices
XNSE/ECLERX,eClerx Services Ltd. (ECLERX) Adjusted Stock Prices
XNSE/BLISSGVS,Bliss GVS Pharma Ltd. (BLISSGVS) Adjusted Stock Prices
XNSE/NRSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NRSRTRANSFIN) Adjusted Stock Prices
XNSE/ALLSEC,Allsec Technologies Ltd. (ALLSEC) Adjusted Stock Prices
XNSE/SHILPI,Shilpi Cable Technologies Ltd (SHILPI) Adjusted Stock Prices
XNSE/LEEL,LEEL Electricals Ltd (LEEL) Adjusted Stock Prices
XNSE/INDIACEM,India Cements Ltd. (INDIACEM) Adjusted Stock Prices
XNSE/NITINFIRE,Nitin Fire Protection Industries Ltd. (NITINFIRE) Adjusted Stock Prices
XNSE/SMSPHARMA,SMS Pharmaceuticals Ltd. (SMSPHARMA) Adjusted Stock Prices
XNSE/FCSSOFT,FCS Software Solutions Ltd. (FCSSOFT) Adjusted Stock Prices
XNSE/ABB,ABB India Ltd (ABB) Adjusted Stock Prices
XNSE/SUNTV,Sun TV Network Ltd. (SUNTV) Adjusted Stock Prices
XNSE/MFDWSHYD7GR,Deutsche Asset Management (India) Pvt Ltd (MFDWSHYD7GR) Adjusted Stock Prices
XNSE/INDTERRAIN,Indian Terrain Fashions Ltd. (INDTERRAIN) Adjusted Stock Prices
XNSE/BLOWPLAST,Blow Plast Ltd. (BLOWPLAST) Adjusted Stock Prices
XNSE/INDNIPPON,India Nippon Electricals Ltd. (INDNIPPON) Adjusted Stock Prices
XNSE/JBFIND,JBF Industries Ltd. (JBFIND) Adjusted Stock Prices
XNSE/OSWALMIN,Oswal Minerals Ltd (OSWALMIN) Adjusted Stock Prices
XNSE/MFDWSFMP71RG,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP71RG) Adjusted Stock Prices
XNSE/INVENTURE,Inventure Growth and Securities Ltd (INVENTURE) Adjusted Stock Prices
XNSE/RANASUG,Rana Sugars Ltd. (RANASUG) Adjusted Stock Prices
XNSE/SB_TINTL,S.B.& T. International Ltd.
XNSE/ANDHRSUGAR,Andhra Sugars Ltd. (ANDHRSUGAR) Adjusted Stock Prices
XNSE/AXISGOLD,Axis Asset Management Company Limited (AXISGOLD) Adjusted Stock Prices
XNSE/MFRDAFTIIIDG,Reliance Nippon Life Asset Management Ltd. (MFRDAFTIIIDG) Adjusted Stock Prices
XNSE/VMART,V-Mart Retail Ltd (VMART) Adjusted Stock Prices
XNSE/AGCNET,AGC Networks Ltd. (AGCNET) Adjusted Stock Prices
XNSE/SILINV,SIL Investments Ltd. (SILINV) Adjusted Stock Prices
XNSE/PALREDTECH,Palred Technologies Ltd. (PALREDTECH) Adjusted Stock Prices
XNSE/SIGNET,Signet Industries Ltd. (SIGNET) Adjusted Stock Prices
XNSE/CPSEETF,Goldman Sachs Asset Management (India) Pvt. Ltd. (CPSEETF) Adjusted Stock Prices
XNSE/3MINDIA,3M India Ltd. (3MINDIA) Adjusted Stock Prices
XNSE/HINDALCO,Hindalco Industries Ltd. (HINDALCO) Adjusted Stock Prices
XNSE/MFBSLRGES1RG,Birla Sun Life Asset Management Company Ltd (MFBSLRGES1RG) Adjusted Stock Prices
XNSE/ROLTA,Rolta India Ltd. (ROLTA) Adjusted Stock Prices
XNSE/KIL,Kamdhenu Ltd. (KIL) Adjusted Stock Prices
XNSE/W1BAJAUTOFIN,Bajaj Finance Ltd (W1BAJAUTOFIN) Adjusted Stock Prices
XNSE/MFJ502G,JP Morgan Asset Management India Pvt Ltd (MFJ502G) Adjusted Stock Prices
XNSE/VICEROY,Viceroy Hotels Ltd. (VICEROY) Adjusted Stock Prices
XNSE/NATIONALUM,National Aluminium Co. Ltd. (NATIONALUM) Adjusted Stock Prices
XNSE/NAKODA,Nakoda Ltd. (NAKODA) Adjusted Stock Prices
XNSE/FKONCO,Fresenius Kabi Oncology Ltd (FKONCO) Adjusted Stock Prices
XNSE/EMMBI,Emmbi Industries Ltd (EMMBI) Adjusted Stock Prices
XNSE/KRISHNAENG,Krishna Engineering Works Ltd. (KRISHNAENG) Adjusted Stock Prices
XNSE/JAINSTUDIO,Jain Studios Ltd. (JAINSTUDIO) Adjusted Stock Prices
XNSE/NBIIFLFIN,India Infoline Finance Ltd (NBIIFLFIN) Adjusted Stock Prices
XNSE/TIMESGTY,Times Guaranty Ltd. (TIMESGTY) Adjusted Stock Prices
XNSE/VOLTAS,Voltas Ltd. (VOLTAS) Adjusted Stock Prices
XNSE/BODALCHEM,Bodal Chemicals Ltd. (BODALCHEM) Adjusted Stock Prices
XNSE/DHAMPURSUG,Dhampur Sugar Mills Ltd (DHAMPURSUG) Adjusted Stock Prices
XNSE/GAIL,Gail (India) Ltd. (GAIL) Adjusted Stock Prices
XNSE/STEL,STEL Holdings Ltd (STEL) Adjusted Stock Prices
XNSE/MFUFTFGR16P7,UTI Asset Management Company Ltd (MFUFTFGR16P7) Adjusted Stock Prices
XNSE/N1ICIBK1107,ICICI Bank Ltd. (N1ICIBK1107) Adjusted Stock Prices
XNSE/UTINIFTETF,UTI Asset Management Company Ltd (UTINIFTETF) Adjusted Stock Prices
XNSE/AUTOIND,Autoline Industries Ltd. (AUTOIND) Adjusted Stock Prices
XNSE/RUBYMILLS,Ruby Mills Ltd. (RUBYMILLS) Adjusted Stock Prices
XNSE/ELDERPHARM,Elder Pharmaceuticals Ltd. (ELDERPHARM) Adjusted Stock Prices
XNSE/UTISENSETF,UTI Asset Management Company Ltd (UTISENSETF) Adjusted Stock Prices
XNSE/SMOPAL,Opal Luxury Time Products Ltd (SMOPAL) Adjusted Stock Prices
XNSE/MFRELDUALGPA,Reliance Capital Asset Management Ltd (MFRELDUALGPA) Adjusted Stock Prices
XNSE/GLORY,Glory Films Ltd (GLORY) Adjusted Stock Prices
XNSE/BLUEBLENDS,Blue Blends (India) Ltd. (BLUEBLENDS) Adjusted Stock Prices
XNSE/CGCL,Capri Global Capital Ltd (CGCL) Adjusted Stock Prices
XNSE/N4SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N4SRTRANSFIN) Adjusted Stock Prices
XNSE/KALINDEE,Kalindee Rail Nirman (Engineers) Ltd. (KALINDEE) Adjusted Stock Prices
XNSE/MERCATOR,Mercator Ltd (MERCATOR) Adjusted Stock Prices
XNSE/BGLOBAL,Bharatiya Global Infomedia Ltd (BGLOBAL) Adjusted Stock Prices
XNSE/AXISCADES,AXISCADES Engineering Technologies Ltd (AXISCADES) Adjusted Stock Prices
XNSE/ERAINFRA,Era Infra Engineering Ltd. (ERAINFRA) Adjusted Stock Prices
XNSE/UMESLTD,Usha Martin Education & Solutions Ltd (UMESLTD) Adjusted Stock Prices
XNSE/INDIANB,Indian Bank (INDIANB) Adjusted Stock Prices
XNSE/SPECTACLE,Spectacle Ventures Ltd (SPECTACLE) Adjusted Stock Prices
XNSE/TATACHEM,Tata Chemicals Ltd. (TATACHEM) Adjusted Stock Prices
XNSE/JPASSOCIAT,Jaiprakash Associates Ltd. (JPASSOCIAT) Adjusted Stock Prices
XNSE/SPYL,Shekhawati Poly-Yarn Limited (SPYL) Adjusted Stock Prices
XNSE/TIIL,Technocraft Industries (India) Ltd. (TIIL) Adjusted Stock Prices
XNSE/N1IIFLFIN,India Infoline Finance Ltd (N1IIFLFIN) Adjusted Stock Prices
XNSE/MAX,Max Financial Services Ltd. (MAX) Adjusted Stock Prices
XNSE/ATULAUTO,Atul Auto Ltd. (ATULAUTO) Adjusted Stock Prices
XNSE/SHASUNPHAR,Shasun Pharmaceuticals Ltd
XNSE/ZEEL,Zee Entertainment Enterprises Ltd (ZEEL) Adjusted Stock Prices
XNSE/MANAKALUCO,Manaksia Aluminium Co. Ltd. (MANAKALUCO) Adjusted Stock Prices
XNSE/HOVS,HOV Services Ltd. (HOVS) Adjusted Stock Prices
XNSE/SUNPHARMA,Sun Pharmaceutical Industries Ltd. (SUNPHARMA) Adjusted Stock Prices
XNSE/BURNPUR,Burnpur Cement Ltd. (BURNPUR) Adjusted Stock Prices
XNSE/PDUMJEPULP,Pudumjee Pulp & Paper Mills Ltd. (PDUMJEPULP) Adjusted Stock Prices
XNSE/SOBHA,Sobha Ltd. (SOBHA) Adjusted Stock Prices
XNSE/ASHAPURMIN,Ashapura Minechem Ltd. (ASHAPURMIN) Adjusted Stock Prices
XNSE/GREAVESCOT,Greaves Cotton Ltd. (GREAVESCOT) Adjusted Stock Prices
XNSE/SOLARINDS,Solar Industries India Ltd (SOLARINDS) Adjusted Stock Prices
XNSE/AFL,Accel Frontline Ltd. (AFL) Adjusted Stock Prices
XNSE/UPL,UPL Ltd (UPL) Adjusted Stock Prices
XNSE/CELEBRITY,Celebrity Fashions Ltd. (CELEBRITY) Adjusted Stock Prices
XNSE/NBVENTURES,Nava Bharat Ventures Ltd. (NBVENTURES) Adjusted Stock Prices
XNSE/CUB,City Union Bank Ltd. (CUB) Adjusted Stock Prices
XNSE/DHANBANK,Dhanlaxmi Bank Ltd. (DHANBANK) Adjusted Stock Prices
XNSE/KANORICHEM,Kanoria Chemicals & Industries Ltd. (KANORICHEM) Adjusted Stock Prices
XNSE/ZENITHINFO,Zenith Infotech Ltd.
XNSE/SHIRPUR_G,Shirpur Gold Refinery Ltd. (SHIRPUR_G) Adjusted Stock Prices
XNSE/TECHM,Tech Mahindra Ltd. (TECHM) Adjusted Stock Prices
XNSE/PRISMCEM,Prism Cement Ltd. (PRISMCEM) Adjusted Stock Prices
XNSE/FIRSTWIN,First Winner Industries Ltd (FIRSTWIN) Adjusted Stock Prices
XNSE/IOLCP,IOL Chemicals & Pharmaceuticals Ltd. (IOLCP) Adjusted Stock Prices
XNSE/GREENPOWER,Orient Green Power Company Limited (GREENPOWER) Adjusted Stock Prices
XNSE/APLAB,Aplab Ltd.
XNSE/PIRPHYTO,Piramal Phytocare Ltd (PIRPHYTO) Adjusted Stock Prices
XNSE/JINDRILL,Jindal Drilling & Industries Ltd. (JINDRILL) Adjusted Stock Prices
XNSE/MASTEK,Mastek Ltd. (MASTEK) Adjusted Stock Prices
XNSE/SDBL,Som Distilleries & Breweries Ltd. (SDBL) Adjusted Stock Prices
XNSE/RELDIVOPP,Reliance Nippon Life Asset Management Ltd. (RELDIVOPP) Adjusted Stock Prices
XNSE/ORIENTREF,Orient Refractories Ltd (ORIENTREF) Adjusted Stock Prices
XNSE/MFFTFTF15GR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF15GR) Adjusted Stock Prices
XNSE/N2SBIN,State Bank of India (N2SBIN) Adjusted Stock Prices
XNSE/LUPIN,Lupin Ltd (LUPIN) Adjusted Stock Prices
XNSE/ALKYLAMINE,Alkyl Amines Chemicals Ltd. (ALKYLAMINE) Adjusted Stock Prices
XNSE/MFIIFLFMPS1G,India Infoline Asset Management Co. Ltd (MFIIFLFMPS1G) Adjusted Stock Prices
XNSE/HYDROS_S,Hydro S&S Industries Ltd.
XNSE/ANSALHSG,Ansal Housing & Construction Ltd. (ANSALHSG) Adjusted Stock Prices
XNSE/XPROINDIA,Xpro India Ltd. (XPROINDIA) Adjusted Stock Prices
XNSE/VIMTALABS,Vimta Labs Ltd. (VIMTALABS) Adjusted Stock Prices
XNSE/MUTHOOTCAP,Muthoot Capital Services Ltd. (MUTHOOTCAP) Adjusted Stock Prices
XNSE/PUNJABTRAC,Punjab Tractors Ltd. (PUNJABTRAC) Adjusted Stock Prices
XNSE/XLENERGY,XL Energy Ltd. (XLENERGY) Adjusted Stock Prices
XNSE/RAMANEWS,Shree Rama Newsprint Ltd (RAMANEWS) Adjusted Stock Prices
XNSE/AKSHOPTFBR,Aksh Optifibre Ltd. (AKSHOPTFBR) Adjusted Stock Prices
XNSE/ZANDUREALT,Zandu Realty Ltd (ZANDUREALT) Adjusted Stock Prices
XNSE/RPGTLTD,RPG Transmission Ltd. (RPGTLTD) Adjusted Stock Prices
XNSE/PHILCORP,Kore Foods Ltd. (PHILCORP) Adjusted Stock Prices
XNSE/PRESTIGE,Prestige Estates Projects Limited (PRESTIGE) Adjusted Stock Prices
XNSE/SPICEMOBI,Spice Mobility Ltd (SPICEMOBI) Adjusted Stock Prices
XNSE/N4RELIFIN,Religare Finvest Limited (N4RELIFIN) Adjusted Stock Prices
XNSE/N3HUDCO,Housing & Urban Development Corporation. (N3HUDCO) Adjusted Stock Prices
XNSE/CARERATING,CARE Ratings Ltd. (CARERATING) Adjusted Stock Prices
XNSE/N2RELIFIN,Religare Finvest Limited (N2RELIFIN) Adjusted Stock Prices
XNSE/DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd. (DEEPAKFERT) Adjusted Stock Prices
XNSE/MFIPRU1772,ICICI Prudential Asset Management Company Ltd. (MFIPRU1772) Adjusted Stock Prices
XNSE/JINDCOT,Jindal Cotex Limited. (JINDCOT) Adjusted Stock Prices
XNSE/MRO_TEK,MRO-TEK Realty Ltd. (MRO_TEK) Adjusted Stock Prices
XNSE/VIKASGLOB,Vikas EcoTech Ltd. (VIKASGLOB) Adjusted Stock Prices
XNSE/SMSIIL,Supreme (India) Impex Ltd. (SMSIIL) Adjusted Stock Prices
XNSE/NORBTEAEXP,Norben Tea & Exports Ltd. (NORBTEAEXP) Adjusted Stock Prices
XNSE/NGCT,Spacenet Enterprises India Ltd. (NGCT) Adjusted Stock Prices
XNSE/BBTC,Bombay Burmah Trading Corporation Ltd. (BBTC) Adjusted Stock Prices
XNSE/SCHAEFFLER,Schaeffler India Ltd. (SCHAEFFLER) Adjusted Stock Prices
XNSE/RELIGARE,Religare Enterprises Ltd. (RELIGARE) Adjusted Stock Prices
XNSE/RAJOIL,Raj Oil Mills Ltd (RAJOIL) Adjusted Stock Prices
XNSE/LYKALABS,Lyka Labs Ltd. (LYKALABS) Adjusted Stock Prices
XNSE/SINTEX,Sintex Industries Ltd. (SINTEX) Adjusted Stock Prices
XNSE/WALCHANNAG,Walchandnagar Industries Ltd. (WALCHANNAG) Adjusted Stock Prices
XNSE/SUZLON,Suzlon Energy Ltd. (SUZLON) Adjusted Stock Prices
XNSE/EIHOTEL,EIH Ltd. (EIHOTEL) Adjusted Stock Prices
XNSE/BANCOINDIA,Banco Products (India) Ltd. (BANCOINDIA) Adjusted Stock Prices
XNSE/VESUVIUS,Vesuvius India Ltd. (VESUVIUS) Adjusted Stock Prices
XNSE/PERSISTENT,Persistent Systems Ltd. (PERSISTENT) Adjusted Stock Prices
XNSE/RBL,Rane Brake Lining Ltd (RBL) Adjusted Stock Prices
XNSE/MINDTREE,MindTree Ltd (MINDTREE) Adjusted Stock Prices
XNSE/MFUFTFGR15PX,UTI Asset Management Company Ltd (MFUFTFGR15PX) Adjusted Stock Prices
XNSE/HTMEDIA,HT Media Ltd. (HTMEDIA) Adjusted Stock Prices
XNSE/GOLDBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (GOLDBEES) Adjusted Stock Prices
XNSE/HARRMALAYA,Harrisons Malayalam Ltd. (HARRMALAYA) Adjusted Stock Prices
XNSE/AGRITECH,Agri-Tech (India) Ltd. (AGRITECH) Adjusted Stock Prices
XNSE/SEZAL,Sejal Glass Ltd (SEZAL) Adjusted Stock Prices
XNSE/OISL,OCL Iron & Steel Ltd (OISL) Adjusted Stock Prices
XNSE/ISMTLTD,ISMT Ltd. (ISMTLTD) Adjusted Stock Prices
XNSE/CLASSIC,Classic Diamonds (India) Ltd. (CLASSIC) Adjusted Stock Prices
XNSE/SETFNIFTY,SBI Funds Management Private Limited (SETFNIFTY) Adjusted Stock Prices
XNSE/JMCPROJECT,JMC Projects (India) Ltd. (JMCPROJECT) Adjusted Stock Prices
XNSE/ACROPETAL,Acropetal Technologies Ltd (ACROPETAL) Adjusted Stock Prices
XNSE/WELENTRP,Welspun Enterprises Ltd (WELENTRP) Adjusted Stock Prices
XNSE/CHENNPETRO,Chennai Petroleum Corporation Ltd. (CHENNPETRO) Adjusted Stock Prices
XNSE/WANBURY,Wanbury Ltd. (WANBURY) Adjusted Stock Prices
XNSE/PSTL,Pyramid Saimira Theatre Ltd. (PSTL) Adjusted Stock Prices
XNSE/TGBHOTELS,TGB Banquets & Hotels Ltd (TGBHOTELS) Adjusted Stock Prices
XNSE/PRITHVISOF,Prithvi Softech Ltd.
XNSE/THOMASCOTT,Thomas Scott (India) Ltd (THOMASCOTT) Adjusted Stock Prices
XNSE/ORTINLABSS,Ortin Laboratories Ltd. (ORTINLABSS) Adjusted Stock Prices
XNSE/SESHAPAPER,Seshasayee Paper & Boards Ltd. (SESHAPAPER) Adjusted Stock Prices
XNSE/RAJRAYON,Raj Rayon Industries Ltd. (RAJRAYON) Adjusted Stock Prices
XNSE/MOTHERSUMI,Motherson Sumi Systems Ltd. (MOTHERSUMI) Adjusted Stock Prices
XNSE/ALLCARGO,Allcargo Logistics Ltd (ALLCARGO) Adjusted Stock Prices
XNSE/BALRAMCHIN,Balrampur Chini Mills Ltd. (BALRAMCHIN) Adjusted Stock Prices
